Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Trial
K Neighbors Classifier,0.9204,0.925,0.9575,0.9498,0.9535,0.6762,0.6776,0.192,17
SVM - Linear Kernel,0.9135,0.9228,0.9632,0.9376,0.95,0.6274,0.6363,0.173,17
Decision Tree Classifier,0.8932,0.8011,0.9321,0.9422,0.9369,0.5877,0.59,0.226,17
Ridge Classifier,0.8876,0.8761,0.9223,0.9449,0.9332,0.5766,0.58,0.159,17
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.173,17
Naive Bayes,0.8102,0.793,0.8413,0.9297,0.8829,0.3862,0.4008,0.181,17
Linear Discriminant Analysis,0.8067,0.7905,0.829,0.9374,0.8796,0.3961,0.417,0.534,17
Quadratic Discriminant Analysis,0.376,0.7987,0.2749,0.9733,0.4225,0.0899,0.1946,0.562,17
Gradient Boosting Classifier,0.9323,0.9525,0.9763,0.9464,0.961,0.705,0.7133,2.302,18
Random Forest Classifier,0.9296,0.9477,0.9763,0.9432,0.9594,0.6926,0.7006,0.285,18
Extra Trees Classifier,0.9282,0.9257,0.9689,0.9482,0.9583,0.6981,0.7036,0.394,18
K Neighbors Classifier,0.926,0.9306,0.9673,0.9476,0.9571,0.6855,0.6929,0.2,18
Logistic Regression,0.9212,0.9423,0.9632,0.9458,0.9542,0.6675,0.673,0.229,18
Ada Boost Classifier,0.9156,0.9281,0.9681,0.9355,0.9513,0.6307,0.6409,0.581,18
SVM - Linear Kernel,0.9107,0.9374,0.9542,0.9431,0.9481,0.6243,0.6348,0.171,18
Decision Tree Classifier,0.9009,0.807,0.9403,0.9436,0.9418,0.6073,0.6087,0.187,18
Ridge Classifier,0.88,0.8584,0.9174,0.941,0.9287,0.5452,0.5496,0.166,18
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.167,18
Naive Bayes,0.8235,0.7862,0.856,0.9315,0.8919,0.4127,0.4244,0.17,18
Linear Discriminant Analysis,0.7634,0.7212,0.7905,0.9209,0.8503,0.2991,0.32,0.546,18
Quadratic Discriminant Analysis,0.4048,0.8024,0.3086,0.9804,0.465,0.1044,0.2173,0.616,18
K Neighbors Classifier,0.9288,0.933,0.9607,0.9566,0.9584,0.7087,0.7123,0.189,19
Random Forest Classifier,0.9274,0.9493,0.9705,0.9461,0.9581,0.6878,0.6928,0.345,19
Extra Trees Classifier,0.9267,0.936,0.9664,0.9488,0.9575,0.6917,0.6943,0.377,19
Gradient Boosting Classifier,0.926,0.9553,0.964,0.9506,0.957,0.6896,0.6943,2.363,19
Logistic Regression,0.9246,0.9477,0.964,0.9488,0.9562,0.6849,0.6882,0.223,19
Ada Boost Classifier,0.9246,0.9411,0.9681,0.9453,0.9564,0.6779,0.6837,0.623,19
SVM - Linear Kernel,0.9177,0.9416,0.9632,0.9431,0.9522,0.6464,0.6651,0.221,19
Ridge Classifier,0.8967,0.8748,0.9354,0.9431,0.9391,0.5979,0.6,0.206,19
Decision Tree Classifier,0.889,0.7948,0.9288,0.9406,0.9345,0.5687,0.5708,0.237,19
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.166,19
Naive Bayes,0.8297,0.8051,0.8543,0.9409,0.8952,0.444,0.4602,0.173,19
Linear Discriminant Analysis,0.8157,0.779,0.8502,0.9282,0.8869,0.3903,0.4039,0.549,19
Quadratic Discriminant Analysis,0.3985,0.7908,0.3012,0.98,0.4588,0.0996,0.2129,0.647,19
K Neighbors Classifier,0.9191,0.9359,0.964,0.9428,0.9531,0.6572,0.6634,0.197,20
Gradient Boosting Classifier,0.9191,0.9604,0.9673,0.9398,0.9532,0.6523,0.6587,2.419,20
Random Forest Classifier,0.9184,0.948,0.9706,0.9365,0.953,0.6396,0.652,0.349,20
Extra Trees Classifier,0.9177,0.9352,0.9657,0.9397,0.9524,0.6484,0.6552,0.411,20
Logistic Regression,0.9163,0.9337,0.9591,0.9438,0.9513,0.6513,0.6533,0.235,20
Ada Boost Classifier,0.9121,0.9353,0.9689,0.9312,0.9496,0.6076,0.6172,0.611,20
SVM - Linear Kernel,0.9114,0.9238,0.9534,0.9438,0.9481,0.6391,0.6461,0.202,20
Decision Tree Classifier,0.896,0.7902,0.9403,0.9383,0.9391,0.5829,0.5863,0.214,20
Ridge Classifier,0.8723,0.8513,0.9108,0.9378,0.924,0.5236,0.5264,0.198,20
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.164,20
Naive Bayes,0.8067,0.8071,0.8298,0.9365,0.8791,0.4003,0.4205,0.168,20
Linear Discriminant Analysis,0.783,0.7314,0.8135,0.9229,0.8645,0.3289,0.3462,0.556,20
Quadratic Discriminant Analysis,0.3455,0.8023,0.2373,0.9815,0.3754,0.0761,0.1824,0.641,20
Random Forest Classifier,0.9253,0.9508,0.9697,0.9443,0.9567,0.6838,0.6898,0.284,21
Gradient Boosting Classifier,0.9225,0.9557,0.9673,0.9434,0.9551,0.6739,0.6796,2.358,21
K Neighbors Classifier,0.9218,0.9345,0.9624,0.9469,0.9545,0.6776,0.6802,0.164,21
Logistic Regression,0.9218,0.9471,0.9607,0.9485,0.9544,0.6794,0.6833,0.213,21
Extra Trees Classifier,0.9211,0.924,0.9624,0.946,0.954,0.676,0.6797,0.388,21
Ada Boost Classifier,0.917,0.9323,0.9673,0.9375,0.9521,0.6419,0.6489,0.634,21
SVM - Linear Kernel,0.9058,0.9417,0.9402,0.9499,0.9443,0.6311,0.6398,0.174,21
Decision Tree Classifier,0.894,0.8093,0.9296,0.9453,0.9371,0.5966,0.6011,0.193,21
Ridge Classifier,0.8821,0.8478,0.919,0.9417,0.9299,0.5549,0.5591,0.162,21
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.171,21
