Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Trial
Decision Tree Classifier,0.9093,0.8202,0.9468,0.9474,0.9468,0.6367,0.6409,0.104,15
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.084,15
Naive Bayes,0.7962,0.7159,0.8297,0.9244,0.8737,0.346,0.3629,0.083,15
Linear Discriminant Analysis,0.7118,0.6262,0.7267,0.9181,0.8104,0.2393,0.2697,0.384,15
Quadratic Discriminant Analysis,0.6252,0.7701,0.59,0.9529,0.7271,0.2221,0.2998,0.33,15
Logistic Regression,0.9268,0.9527,0.9673,0.9482,0.9575,0.6923,0.6975,0.089,16
Gradient Boosting Classifier,0.9191,0.9344,0.9779,0.9311,0.9538,0.6282,0.644,0.637,16
K Neighbors Classifier,0.9184,0.9318,0.9542,0.9504,0.9522,0.6707,0.6717,0.089,16
Extra Trees Classifier,0.9184,0.9181,0.9706,0.9363,0.9531,0.6409,0.6484,0.243,16
Random Forest Classifier,0.9177,0.9349,0.973,0.9335,0.9528,0.6325,0.6424,0.188,16
Ada Boost Classifier,0.9149,0.9226,0.9574,0.9437,0.9505,0.6477,0.65,0.234,16
Ridge Classifier,0.9128,0.9277,0.9517,0.9467,0.949,0.6466,0.6505,0.102,16
SVM - Linear Kernel,0.9114,0.9379,0.9468,0.9494,0.9479,0.6503,0.6531,0.086,16
Decision Tree Classifier,0.8974,0.7818,0.946,0.9348,0.9402,0.5782,0.582,0.099,16
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.094,16
Naive Bayes,0.8318,0.7284,0.8748,0.9244,0.8986,0.4043,0.4116,0.084,16
Linear Discriminant Analysis,0.7236,0.6439,0.7413,0.9204,0.8196,0.2464,0.2786,0.41,16
Quadratic Discriminant Analysis,0.582,0.7833,0.5385,0.9507,0.6854,0.185,0.2666,0.325,16
Logistic Regression,0.9281,0.9618,0.9697,0.9473,0.9583,0.6975,0.7015,0.102,17
Ridge Classifier,0.9246,0.9427,0.9599,0.9522,0.9559,0.6941,0.6962,0.129,17
Random Forest Classifier,0.9239,0.9535,0.9738,0.9394,0.9562,0.6668,0.6764,0.242,17
K Neighbors Classifier,0.9232,0.929,0.9583,0.9521,0.9551,0.6904,0.6924,0.101,17
Extra Trees Classifier,0.9212,0.9354,0.9681,0.9414,0.9544,0.661,0.6677,0.262,17
SVM - Linear Kernel,0.9197,0.9504,0.9558,0.9508,0.953,0.6751,0.6813,0.119,17
Gradient Boosting Classifier,0.9176,0.9393,0.9755,0.9314,0.9528,0.6282,0.6415,0.607,17
Ada Boost Classifier,0.9058,0.9147,0.9632,0.9292,0.9457,0.5866,0.5968,0.26,17
