Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Trial
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.164,19
Linear Discriminant Analysis,0.7621,0.7497,0.7865,0.9232,0.8487,0.3044,0.3274,0.904,19
Naive Bayes,0.4683,0.6158,0.4067,0.9323,0.5642,0.0987,0.1708,0.189,19
Quadratic Discriminant Analysis,0.3,0.6996,0.1841,0.9769,0.307,0.0535,0.1507,0.664,19
Extra Trees Classifier,0.9288,0.945,0.9738,0.9445,0.9589,0.6939,0.6998,0.324,20
Logistic Regression,0.9281,0.9441,0.9697,0.9475,0.9583,0.6952,0.701,0.208,20
Random Forest Classifier,0.9253,0.9536,0.9771,0.938,0.9571,0.6703,0.6817,0.284,20
K Neighbors Classifier,0.919,0.9307,0.9599,0.946,0.9527,0.6686,0.6723,0.198,20
Gradient Boosting Classifier,0.9176,0.9479,0.9713,0.9347,0.9525,0.6396,0.6509,1.558,20
Ada Boost Classifier,0.9155,0.9371,0.9648,0.9381,0.9511,0.6401,0.6473,0.599,20
SVM - Linear Kernel,0.9127,0.9328,0.9591,0.9407,0.9491,0.6336,0.6463,0.205,20
Decision Tree Classifier,0.8765,0.755,0.9272,0.9282,0.9275,0.5075,0.5099,0.228,20
Ridge Classifier,0.8709,0.8639,0.9084,0.9388,0.923,0.5211,0.5262,0.189,20
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.139,20
Linear Discriminant Analysis,0.7704,0.766,0.7962,0.9238,0.8547,0.317,0.3379,0.936,20
Naive Bayes,0.4033,0.6111,0.3216,0.9393,0.4774,0.0773,0.1554,0.19,20
Quadratic Discriminant Analysis,0.2492,0.6873,0.1228,0.9764,0.2162,0.0338,0.1185,0.627,20
Gradient Boosting Classifier,0.9218,0.9418,0.9762,0.9352,0.9552,0.6484,0.6608,1.665,21
K Neighbors Classifier,0.9211,0.9094,0.9681,0.9412,0.9543,0.664,0.6702,0.166,21
Random Forest Classifier,0.9211,0.9479,0.9762,0.9344,0.9548,0.6462,0.6591,0.279,21
Extra Trees Classifier,0.9211,0.9323,0.9713,0.9387,0.9546,0.6544,0.6644,0.389,21
Ada Boost Classifier,0.917,0.9216,0.973,0.9326,0.9523,0.6314,0.6426,0.506,21
Logistic Regression,0.9135,0.9169,0.9591,0.9407,0.9497,0.6381,0.6415,0.201,21
SVM - Linear Kernel,0.9044,0.9021,0.9525,0.9369,0.9443,0.6023,0.6095,0.182,21
Decision Tree Classifier,0.8723,0.7665,0.9165,0.9327,0.9243,0.5118,0.5146,0.235,21
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.156,21
Ridge Classifier,0.8423,0.8277,0.8895,0.9232,0.9058,0.4189,0.4236,0.193,21
